table_name,ordinal_position,column_name,data_type,is_nullable,column_default
qualification,7,updated_at,timestamp with time zone,NO,
rag_chunk,1,id,uuid,NO,
rag_chunk,2,chunk_index,integer,NO,
rag_chunk,3,content,text,NO,
rag_chunk,4,token_count,integer,YES,
rag_chunk,5,metadata,jsonb,NO,
rag_chunk,6,embedding,USER-DEFINED,YES,
rag_chunk,7,created_at,timestamp with time zone,NO,
rag_chunk,8,rag_source_id,uuid,YES,
rag_source,1,id,uuid,NO,
rag_source,2,source_type,character varying,NO,
rag_source,3,title,character varying,NO,
rag_source,4,source_filename,character varying,YES,
rag_source,5,storage_uri,text,YES,
rag_source,6,source_text,text,YES,
rag_source,7,metadata,jsonb,NO,
rag_source,8,ingestion_status,character varying,NO,
rag_source,9,created_at,timestamp with time zone,NO,
rag_source,10,assignment_level_id,uuid,YES,
response,1,id,uuid,NO,
response,2,model_name,character varying,NO,
response,3,response_payload,jsonb,NO,
response,4,confidence_score,numeric,YES,
response,5,created_at,timestamp with time zone,NO,
response,6,prompt_id,uuid,YES,
rubric_band,1,id,uuid,NO,
rubric_band,2,band_code,character varying,NO,
rubric_band,3,display_name,character varying,NO,
rubric_band,4,minimum_percentage,numeric,NO,
rubric_band,5,maximum_percentage,numeric,NO,
rubric_band,6,descriptor,text,NO,
rubric_band,7,sequence,integer,NO,
rubric_band,8,rubric_criterion_id,uuid,YES,
rubric_criterion,1,id,uuid,NO,
rubric_criterion,2,criterion_code,character varying,NO,
rubric_criterion,3,title,character varying,NO,
rubric_criterion,4,description,text,NO,
rubric_criterion,5,maximum_score,numeric,NO,
rubric_criterion,6,sequence,integer,NO,
rubric_criterion,7,ai_gradable,boolean,NO,
rubric_criterion,8,deterministic,boolean,NO,
rubric_criterion,9,created_at,timestamp with time zone,NO,
rubric_criterion,10,assignment_level_id,uuid,YES,
submission_task_mapping,1,id,uuid,NO,
submission_task_mapping,2,task_id,character varying,NO,
submission_task_mapping,3,task_description,text,NO,
submission_task_mapping,4,mapped_page_numbers,jsonb,NO,
submission_task_mapping,5,confidence_score,numeric,NO,
submission_task_mapping,6,justification,text,NO,
submission_task_mapping,7,created_at,timestamp with time zone,NO,
submission_task_mapping,8,submission_id,uuid,NO,
submissions_submissioncontext,1,id,uuid,NO,
submissions_submissioncontext,2,is_active,boolean,NO,
submissions_submissioncontext,3,created_at,timestamp with time zone,NO,
submissions_submissioncontext,4,updated_at,timestamp with time zone,NO,
submissions_submissioncontext,5,assessment_mapping_id,uuid,YES,
submissions_submissioncontext,6,assignment_level_id,uuid,YES,
submissions_submissioncontext,7,cohort_id,uuid,NO,
submissions_submissioncontext,8,learner_id,integer,NO,
submissions_submissionpage,1,id,uuid,NO,
submissions_submissionpage,2,page_number,integer,NO,
submissions_submissionpage,3,extracted_text,text,NO,
submissions_submissionpage,4,image_data,bytea,YES,
submissions_submissionpage,5,image_mime_type,character varying,NO,
submissions_submissionpage,6,created_at,timestamp with time zone,NO,
submissions_submissionpage,7,submission_id,uuid,NO,
task,1,id,uuid,NO,
task,2,task_code,character varying,NO,
task,3,title,character varying,NO,
task,4,instructions,text,NO,
task,5,sequence,integer,NO,
task,6,created_at,timestamp with time zone,NO,
task,7,assignment_level_id,uuid,YES,
task_criteria_mapping,1,id,uuid,NO,
task_criteria_mapping,2,inferred_weight,numeric,NO,
task_criteria_mapping,3,ai_explanation,text,NO,
